Area,Item Code,Item,Year Code,Year,Unit,Value
United Arab Emirates,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,9.7
United Kingdom of Great Britain and Northern Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,42820.6
United Kingdom of Great Britain and Northern Ireland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,3.5
United Kingdom of Great Britain and Northern Ireland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,3.3
United Kingdom of Great Britain and Northern Ireland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,3.4
United Republic of Tanzania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2635.4
United Republic of Tanzania,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,57.6
United Republic of Tanzania,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,68.4
United Republic of Tanzania,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,66.2
United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,59755.2
United States of America,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,8.2
United States of America,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,15.5
United States of America,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,19.7
Uruguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,21548.1
Uruguay,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,23
Uruguay,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,17
Uruguay,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,24.5
Uzbekistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,7344.2
Uzbekistan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,23.5
Uzbekistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,22.4
Uzbekistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,23.7
Vanuatu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2878.5
Vanuatu,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,23.3
Vanuatu,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Vanuatu,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Venezuela (Bolivarian Republic of),210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Venezuela (Bolivarian Republic of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Venezuela (Bolivarian Republic of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Viet Nam,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10338.3
Viet Nam,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.6
Viet Nam,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,17.4
Viet Nam,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,22.7
Yemen,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Yemen,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Yemen,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Zambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3277.8
Zambia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,69.5
Zambia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,69.5
Zambia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,69.5
Zimbabwe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3353.4
Zimbabwe,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,73
Zimbabwe,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,61.7
Zimbabwe,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,64.7
